# t x y z vx vy vz phi theta gamma phid thetad gammad
1.757238307349659800e+00 1.082443850083008563e+01 2.551428747807940045e+00 1.534594398425255024e+00 2.484766257289523939e+00 4.106186027775914127e+00 -2.804379115688054203e+00 -4.193217887759749796e-01 -9.237775096712611544e-01 8.701640168109614137e+01 2.534319193145794236e-01 -3.444355316995497129e-01 4.963818374526965727e+01
1.760579064587967091e+00 1.083270688292921768e+01 2.565166496938741325e+00 1.525191145804674298e+00 2.465226108541679562e+00 4.118138288105535949e+00 -2.825036537864748620e+00 -4.184659854199172524e-01 -9.249256348998533550e-01 8.718223723930776714e+01 2.589081860616079811e-01 -3.429055525698559426e-01 4.964203708235883283e+01
1.763919821826274381e+00 1.084090986213680097e+01 2.578944093524967229e+00 1.515718864611249606e+00 2.445611762148566459e+00 4.130041274179614419e+00 -2.845704097711883929e+00 -4.175918921285274865e-01 -9.260686168472234137e-01 8.734808567305897498e+01 2.643825572297971438e-01 -3.413565759971893820e-01 4.964589273324940422e+01
1.767260579064581671e+00 1.084904719094041781e+01 2.592761371986324281e+00 1.506177522215828235e+00 2.425923437052946330e+00 4.141894408411387118e+00 -2.866381053939685675e+00 -4.166995043288560518e-01 -9.272063928557888746e-01 8.751394699862305515e+01 2.698615780540488118e-01 -3.397888562847453109e-01 4.964975582862946624e+01
1.770601336302888962e+00 1.085711862256967031e+01 2.606618164826140394e+00 1.496567088465157180e+00 2.406161358453040577e+00 4.153697121153743232e+00 -2.887066665567634249e+00 -4.157887958236847203e-01 -9.283388988185540258e-01 8.767982124924903076e+01 2.753515276085212182e-01 -3.382012837397794236e-01 4.965363130323311225e+01
1.773942093541196252e+00 1.086512391101632602e+01 2.620514302658269123e+00 1.486887535681204131e+00 2.386325757371611456e+00 4.165448850924312829e+00 -2.907760191704259700e+00 -4.148597208758796895e-01 -9.294660648218096011e-01 8.784570847354687828e+01 2.808577159787989941e-01 -3.365915259681180882e-01 4.965752333074221525e+01
1.777282850779503542e+00 1.087306281105322547e+01 2.634449614234713355e+00 1.477138838661276488e+00 2.366416870348816204e+00 4.177149044607902262e+00 -2.928460891296006618e+00 -4.139122184748812439e-01 -9.305878114696345405e-01 8.801160873211320279e+01 2.863838915591660483e-01 -3.349562908324112409e-01 4.966143484422801890e+01
1.780623608017810833e+00 1.088093507825239392e+01 2.648423926473862711e+00 1.467320974678976819e+00 2.346434939274563369e+00 4.188797157619563727e+00 -2.949168022883623674e+00 -4.129462183155872546e-01 -9.317040472507934767e-01 8.817752209276574149e+01 2.919318168624772114e-01 -3.332916818749156462e-01 4.966536718965033970e+01
1.783964365256118123e+00 1.088874046900283155e+01 2.662437064489191929e+00 1.457433923485908833e+00 2.326380211362439443e+00 4.200392654015147720e+00 -2.969880844402783104e+00 -4.119616478538360993e-01 -9.328146671953366775e-01 8.834344862489116679e+01 2.975010530676920895e-01 -3.315936081967516547e-01 4.966931994562822439e+01
1.787305122494425413e+00 1.089647874052844578e+01 2.676488851618227915e+00 1.447477667313928906e+00 2.306252939253576439e+00 4.211935006540894477e+00 -2.990598613060323707e+00 -4.109584397042421733e-01 -9.339195529320848399e-01 8.850938839349316822e+01 3.030889715801753925e-01 -3.298582060220048850e-01 4.967329092522366096e+01
1.790645879732732704e+00 1.090414965090649879e+01 2.690579109451575412e+00 1.437452190877653635e+00 2.286053381226432535e+00 4.223423696619067691e+00 -3.011320585309194442e+00 -4.099365386241605180e-01 -9.350185741135229600e-01 8.867534145354881048e+01 3.086909874442879675e-01 -3.280822288605420023e-01 4.967727635667130670e+01
1.793986636971039994e+00 1.091175295908690224e+01 2.704707657861792569e+00 1.427357481376864579e+00 2.265781801478527147e+00 4.234858214272311017e+00 -3.032046016934753840e+00 -4.088959073829780966e-01 -9.361115910363372317e-01 8.884130784524028002e+01 3.143009869408861512e-01 -3.262633672605658175e-01 4.968127122178319155e+01
1.797327394209347284e+00 1.091928842491251395e+01 2.718874315031918343e+00 1.417193528498437161e+00 2.245438470439649059e+00 4.246238057994756510e+00 -3.052774163253604289e+00 -4.078365309417721907e-01 -9.371984581678497461e-01 8.900728759053077965e+01 3.199119024031425451e-01 -3.244004671071494816e-01 4.968526971500708811e+01
1.800668151447654575e+00 1.092675580914046840e+01 2.733078897483501635e+00 1.406960324417429131e+00 2.225023665073521784e+00 4.257562734582486463e+00 -3.073504279414766227e+00 -4.067584185505954131e-01 -9.382790282025352813e-01 8.917328069140879165e+01 3.255163731066217925e-01 -3.224936263865574304e-01 4.968926577439236070e+01
1.804008908685961865e+00 1.093415487346443804e+01 2.747321220104014916e+00 1.396657863797019283e+00 2.204537669126564126e+00 4.268831758939282572e+00 -3.094235620782844087e+00 -4.056616035896865591e-01 -9.393531562267567470e-01 8.933928712994948285e+01 3.311074233935966116e-01 -3.205441631204639652e-01 4.969325362915486011e+01
1.807349665924269155e+00 1.094148538053759445e+01 2.761601096173603498e+00 1.386286143787068381e+00 2.183980773288024313e+00 4.280044653875444638e+00 -3.114967443374879519e+00 -4.045461412137847934e-01 -9.404207035677012438e-01 8.950530687015454134e+01 3.366790886529220095e-01 -3.185544604393560908e-01 4.969722830772493438e+01
1.810690423162576446e+00 1.094874709399590884e+01 2.775918337391176216e+00 1.375845164021175737e+00 2.163353275234777495e+00 4.291200949917614693e+00 -3.135699004317568761e+00 -4.034121040814366843e-01 -9.414815409435501881e-01 8.967133986135060297e+01 3.422269263286741858e-01 -3.165277071481806814e-01 4.970118605510489829e+01
